id,statement,relation,ground_truth,prediction,correct,raw_output,image_url
532,The person is touching the pizza.,touching,False,False,True, False,http://images.cocodataset.org/train2017/000000083508.jpg
533,The sandwich is touching the person.,touching,True,True,True, True,http://images.cocodataset.org/train2017/000000328326.jpg
534,The dog is on the teddy bear.,on,True,True,True, True,http://images.cocodataset.org/train2017/000000139355.jpg
535,The pizza is touching the person.,touching,False,True,False, True,http://images.cocodataset.org/train2017/000000163186.jpg
536,The cake is part of the sheep.,part of,True,True,True, True,http://images.cocodataset.org/train2017/000000363793.jpg
537,The laptop is touching the cat.,touching,True,True,True, True,http://images.cocodataset.org/train2017/000000212605.jpg
538,The laptop is left of the tv.,left of,True,False,False, False,http://images.cocodataset.org/train2017/000000407386.jpg
539,The cat is adjacent to the apple.,adjacent to,True,True,True, True,http://images.cocodataset.org/train2017/000000003067.jpg
540,The teddy bear is in the middle of the bench.,in the middle of,False,True,False, True,http://images.cocodataset.org/train2017/000000506842.jpg
541,The person is on top of the elephant.,on top of,False,False,True, False,http://images.cocodataset.org/train2017/000000494896.jpg
542,The truck is inside the dog.,inside,False,False,True, False,http://images.cocodataset.org/train2017/000000168317.jpg
543,The person is along the couch.,along,False,True,False, True,http://images.cocodataset.org/train2017/000000192835.jpg
544,The skateboard is parallel to the couch.,parallel to,True,True,True, True,http://images.cocodataset.org/train2017/000000170584.jpg
545,The potted plant is right of the bench.,right of,True,True,True, True,http://images.cocodataset.org/val2017/000000437514.jpg
546,The cat is inside the suitcase.,inside,False,True,False, True,http://images.cocodataset.org/train2017/000000482994.jpg
547,The elephant is inside the truck.,inside,False,False,True, False,http://images.cocodataset.org/train2017/000000028251.jpg
548,The laptop is left of the sandwich.,left of,True,True,True, True,http://images.cocodataset.org/train2017/000000349230.jpg
549,The bus is far away from the skateboard.,far away from,False,False,True, False,http://images.cocodataset.org/train2017/000000530653.jpg
550,The bed is next to the person.,next to,False,True,False, True,http://images.cocodataset.org/train2017/000000514749.jpg
551,The cat is touching the keyboard.,touching,False,False,True, False,http://images.cocodataset.org/train2017/000000198561.jpg
552,The couch is behind the suitcase.,behind,False,False,True, False,http://images.cocodataset.org/train2017/000000042667.jpg
553,The potted plant is right of the train.,right of,True,True,True, True,http://images.cocodataset.org/train2017/000000518546.jpg
554,The bed is at the back of the couch.,at the back of,False,True,False, True,http://images.cocodataset.org/train2017/000000208557.jpg
555,The dining table is over the cat.,over,True,True,True, True,http://images.cocodataset.org/train2017/000000104150.jpg
556,The truck is at the back of the surfboard.,at the back of,False,True,False, True,http://images.cocodataset.org/train2017/000000209791.jpg
557,The sink is behind the person.,behind,True,True,True, True,http://images.cocodataset.org/train2017/000000107565.jpg
558,The bird is facing away from the cat.,facing away from,True,True,True, True,http://images.cocodataset.org/train2017/000000072556.jpg
559,The dog is under the dining table.,under,False,False,True, False,http://images.cocodataset.org/train2017/000000250424.jpg
560,The person is far away from the potted plant.,far away from,False,False,True, False,http://images.cocodataset.org/train2017/000000322720.jpg
561,The bed is surrounding the cat.,surrounding,False,False,True, False,http://images.cocodataset.org/train2017/000000085933.jpg
562,The cat is on top of the car.,on top of,True,True,True, True,http://images.cocodataset.org/train2017/000000061389.jpg
563,The bench is beneath the teddy bear.,beneath,True,True,True, True,http://images.cocodataset.org/train2017/000000506842.jpg
564,The sheep is facing away from the person.,facing away from,False,True,False, True,http://images.cocodataset.org/train2017/000000091656.jpg
565,The dog is perpendicular to the couch.,perpendicular to,False,True,False, True,http://images.cocodataset.org/train2017/000000170898.jpg
566,The traffic light is far away from the person.,far away from,True,True,True, True,http://images.cocodataset.org/train2017/000000011788.jpg
567,The teddy bear is adjacent to the cup.,adjacent to,True,True,True, True,http://images.cocodataset.org/train2017/000000188053.jpg
568,The horse is touching the person.,touching,True,True,True, True,http://images.cocodataset.org/train2017/000000326801.jpg
569,The laptop is on the couch.,on,True,True,True, True,http://images.cocodataset.org/train2017/000000192835.jpg
570,The donut is at the right side of the bowl.,at the right side of,False,True,False, True,http://images.cocodataset.org/train2017/000000435620.jpg
571,The vase is toward the person.,toward,False,True,False, True,http://images.cocodataset.org/train2017/000000230238.jpg
572,The donut is touching the cup.,touching,False,True,False, True,http://images.cocodataset.org/train2017/000000302678.jpg
573,The person is outside the car.,outside,False,False,True, False,http://images.cocodataset.org/train2017/000000354398.jpg
574,The book is at the left side of the pizza.,at the left side of,True,True,True, True,http://images.cocodataset.org/train2017/000000469936.jpg
575,The teddy bear is beneath the umbrella.,beneath,False,True,False, True,http://images.cocodataset.org/train2017/000000473779.jpg
576,The train is below the clock.,below,True,True,True, True,http://images.cocodataset.org/train2017/000000334735.jpg
577,The carrot is at the side of the cat.,at the side of,True,True,True, True,http://images.cocodataset.org/train2017/000000579773.jpg
578,The dining table is touching the person.,touching,False,False,True, False,http://images.cocodataset.org/train2017/000000508470.jpg
579,The cat is on the suitcase.,on,False,True,False, True,http://images.cocodataset.org/train2017/000000335092.jpg
580,The bench is far away from the hot dog.,far away from,True,False,False, False,http://images.cocodataset.org/train2017/000000443165.jpg
581,The dining table is under the cat.,under,True,True,True, True,http://images.cocodataset.org/train2017/000000320089.jpg
582,The banana is facing the cat.,facing,False,True,False, True,http://images.cocodataset.org/train2017/000000481313.jpg
583,The pizza is in front of the person.,in front of,False,True,False, True,http://images.cocodataset.org/train2017/000000328270.jpg
584,The train contains the chair.,contains,False,False,True, False,http://images.cocodataset.org/train2017/000000012681.jpg
585,The bed is left of the bench.,left of,False,True,False, True,http://images.cocodataset.org/train2017/000000075458.jpg
586,The person is detached from the sheep.,detached from,False,True,False, True,http://images.cocodataset.org/train2017/000000270581.jpg
587,The sink contains the cat.,contains,True,True,True, True,http://images.cocodataset.org/train2017/000000346985.jpg
588,The cat is touching the banana.,touching,True,True,True, True,http://images.cocodataset.org/train2017/000000007781.jpg
589,The cake is across from the oven.,across from,True,True,True, True,http://images.cocodataset.org/train2017/000000271759.jpg
590,The train is near the bicycle.,near,True,True,True, True,http://images.cocodataset.org/val2017/000000492937.jpg
591,The bird is touching the chair.,touching,False,False,True, False,http://images.cocodataset.org/train2017/000000142941.jpg
592,The suitcase is touching the bed.,touching,True,True,True, True,http://images.cocodataset.org/train2017/000000192212.jpg
593,The person is under the banana.,under,True,True,True, True,http://images.cocodataset.org/train2017/000000547607.jpg
594,The book is facing the cat.,facing,True,True,True, True,http://images.cocodataset.org/train2017/000000499656.jpg
595,The oven is in front of the person.,in front of,True,True,True, True,http://images.cocodataset.org/train2017/000000451274.jpg
596,The person is under the umbrella.,under,False,False,True, False,http://images.cocodataset.org/train2017/000000328409.jpg
597,The refrigerator contains the dog.,contains,False,False,True, False,http://images.cocodataset.org/train2017/000000335581.jpg
598,The dog is next to the couch.,next to,False,True,False, True,http://images.cocodataset.org/train2017/000000462330.jpg
599,The elephant is beneath the bird.,beneath,True,True,True, True,http://images.cocodataset.org/train2017/000000033717.jpg
600,The laptop is in front of the tv.,in front of,True,True,True, True,http://images.cocodataset.org/train2017/000000046002.jpg
601,The car is on the bed.,on,False,True,False, True,http://images.cocodataset.org/train2017/000000477061.jpg
602,The cat is below the bottle.,below,False,True,False, True,http://images.cocodataset.org/train2017/000000307995.jpg
603,The person is touching the kite.,touching,True,True,True, True,http://images.cocodataset.org/val2017/000000099024.jpg
604,The bed is by the bench.,by,True,True,True, True,http://images.cocodataset.org/train2017/000000268227.jpg
605,The cat is by the toilet.,by,True,True,True, True,http://images.cocodataset.org/train2017/000000098302.jpg
606,The car is above the cat.,above,False,True,False, True,http://images.cocodataset.org/train2017/000000060952.jpg
607,The orange is attached to the person.,attached to,True,True,True, True,http://images.cocodataset.org/train2017/000000337660.jpg
608,The person is behind the couch.,behind,True,False,False, False,http://images.cocodataset.org/train2017/000000348288.jpg
609,The motorcycle is alongside the bus.,alongside,True,True,True, True,http://images.cocodataset.org/train2017/000000460143.jpg
610,The dog is touching the person.,touching,True,True,True, True,http://images.cocodataset.org/train2017/000000548500.jpg
611,The airplane is touching the person.,touching,False,False,True, False,http://images.cocodataset.org/train2017/000000218482.jpg
612,The banana is left of the sandwich.,left of,False,True,False, True,http://images.cocodataset.org/train2017/000000557005.jpg
613,The teddy bear is above the toilet.,above,True,True,True, True,http://images.cocodataset.org/train2017/000000318365.jpg
614,The dining table is opposite to the bus.,opposite to,False,False,True, False,http://images.cocodataset.org/train2017/000000556203.jpg
615,The cow is on the tv.,on,True,True,True, True,http://images.cocodataset.org/train2017/000000123842.jpg
616,The microwave is at the left side of the person.,at the left side of,False,True,False, True,http://images.cocodataset.org/train2017/000000364937.jpg
617,The bench is parallel to the person.,parallel to,False,True,False, True,http://images.cocodataset.org/train2017/000000012704.jpg
618,The dining table is at the left side of the oven.,at the left side of,True,False,False, False,http://images.cocodataset.org/train2017/000000097427.jpg
619,The cat is inside the suitcase.,inside,True,True,True, True,http://images.cocodataset.org/train2017/000000141441.jpg
620,The donut is away from the dining table.,away from,True,True,True, True,http://images.cocodataset.org/train2017/000000068743.jpg
621,The sandwich is at the left side of the bowl.,at the left side of,False,True,False, True,http://images.cocodataset.org/train2017/000000375086.jpg
622,The sheep is touching the person.,touching,True,True,True, True,http://images.cocodataset.org/val2017/000000525155.jpg
623,The dog is into the toilet.,into,True,True,True, True,http://images.cocodataset.org/train2017/000000145544.jpg
624,The bed is under the suitcase.,under,False,False,True, False,http://images.cocodataset.org/train2017/000000231019.jpg
625,The orange is touching the dining table.,touching,True,True,True, True,http://images.cocodataset.org/train2017/000000150324.jpg
626,The dining table is touching the banana.,touching,False,True,False, True,http://images.cocodataset.org/train2017/000000568137.jpg
627,The oven is next to the refrigerator.,next to,True,True,True, True,http://images.cocodataset.org/train2017/000000250833.jpg
628,The dining table is beneath the airplane.,beneath,False,True,False, True,http://images.cocodataset.org/train2017/000000275327.jpg
629,The laptop is under the cat.,under,False,True,False, True,http://images.cocodataset.org/train2017/000000279479.jpg
630,The sandwich is at the left side of the laptop.,at the left side of,False,True,False, True,http://images.cocodataset.org/train2017/000000511523.jpg
631,The car is across from the dog.,across from,False,True,False, True,http://images.cocodataset.org/train2017/000000119805.jpg
632,The cat is above the bench.,above,False,False,True, False,http://images.cocodataset.org/train2017/000000124850.jpg
633,The sandwich is adjacent to the bowl.,adjacent to,True,True,True, True,http://images.cocodataset.org/train2017/000000227675.jpg
634,The sandwich is into the person.,into,False,True,False, True,http://images.cocodataset.org/train2017/000000219817.jpg
635,The chair is beyond the suitcase.,beyond,True,False,False, False,http://images.cocodataset.org/train2017/000000160471.jpg
636,The person is far from the boat.,far from,True,True,True, True,http://images.cocodataset.org/train2017/000000386880.jpg
637,The suitcase is on the bed.,on,True,True,True, True,http://images.cocodataset.org/train2017/000000248133.jpg
638,The person is behind the oven.,behind,False,False,True, False,http://images.cocodataset.org/train2017/000000462151.jpg
639,The cat is over the book.,over,True,True,True, True,http://images.cocodataset.org/train2017/000000506955.jpg
640,The suitcase is outside the bottle.,outside,True,True,True, True,http://images.cocodataset.org/train2017/000000037024.jpg
641,The bed is touching the laptop.,touching,True,True,True, True,http://images.cocodataset.org/train2017/000000353316.jpg
642,The cat is left of the couch.,left of,False,False,True, False,http://images.cocodataset.org/train2017/000000040419.jpg
643,The cake has as a part the cat.,has as a part,False,True,False, True,http://images.cocodataset.org/train2017/000000167802.jpg
644,The suitcase is on the book.,on,True,True,True, True,http://images.cocodataset.org/train2017/000000541725.jpg
645,The dog is at the right side of the laptop.,at the right side of,True,True,True, True,http://images.cocodataset.org/train2017/000000351914.jpg
646,The toaster is near the pizza.,near,True,True,True, True,http://images.cocodataset.org/train2017/000000330513.jpg
647,The cat is by the carrot.,by,True,True,True, True,http://images.cocodataset.org/train2017/000000447095.jpg
648,The car is beneath the cat.,beneath,False,False,True, False,http://images.cocodataset.org/train2017/000000574706.jpg
649,The broccoli is on the pizza.,on,True,True,True, True,http://images.cocodataset.org/train2017/000000478981.jpg
650,The cat is in the middle of the bed.,in the middle of,False,True,False, True,http://images.cocodataset.org/train2017/000000108639.jpg
651,The bicycle is behind the train.,behind,True,False,False, False,http://images.cocodataset.org/train2017/000000116006.jpg
652,The cat is part of the clock.,part of,False,False,True, False,http://images.cocodataset.org/train2017/000000128346.jpg
653,The cake is in front of the person.,in front of,True,True,True, True,http://images.cocodataset.org/train2017/000000348941.jpg
654,The cat is touching the wine glass.,touching,False,False,True, False,http://images.cocodataset.org/train2017/000000275449.jpg
655,The book is at the edge of the bench.,at the edge of,False,True,False, True,http://images.cocodataset.org/train2017/000000048795.jpg
656,The truck is behind the oven.,behind,True,True,True, True,http://images.cocodataset.org/train2017/000000197266.jpg
657,The teddy bear is facing the cow.,facing,False,True,False, True,http://images.cocodataset.org/train2017/000000285618.jpg
658,The person is on top of the dining table.,on top of,False,False,True, False,http://images.cocodataset.org/train2017/000000094061.jpg
659,The handbag is in front of the teddy bear.,in front of,True,True,True, True,http://images.cocodataset.org/train2017/000000010547.jpg
660,The cat is on top of the dining table.,on top of,False,True,False, True,http://images.cocodataset.org/train2017/000000509555.jpg
661,The cup contains the banana.,contains,False,False,True, False,http://images.cocodataset.org/train2017/000000308849.jpg
662,The person is touching the sandwich.,touching,True,True,True, True,http://images.cocodataset.org/train2017/000000560969.jpg
663,The bowl is next to the banana.,next to,True,True,True, True,http://images.cocodataset.org/train2017/000000293955.jpg
664,The book is touching the bench.,touching,True,True,True, True,http://images.cocodataset.org/train2017/000000251835.jpg
665,The train is on the dining table.,on,False,False,True, False,http://images.cocodataset.org/train2017/000000284873.jpg
666,The couch is in front of the person.,in front of,False,True,False, True,http://images.cocodataset.org/train2017/000000142481.jpg
667,The horse is touching the zebra.,touching,False,True,False, True,http://images.cocodataset.org/train2017/000000024260.jpg
668,The teddy bear is close to the laptop.,close to,True,True,True, True,http://images.cocodataset.org/train2017/000000434141.jpg
669,The suitcase contains the cat.,contains,True,True,True, True,http://images.cocodataset.org/train2017/000000185432.jpg
670,The umbrella is far away from the motorcycle.,far away from,True,False,False, False,http://images.cocodataset.org/train2017/000000239483.jpg
671,The mouse is behind the teddy bear.,behind,True,False,False, False,http://images.cocodataset.org/train2017/000000196226.jpg
672,The teddy bear is at the left side of the book.,at the left side of,False,True,False, True,http://images.cocodataset.org/train2017/000000127654.jpg
673,The bowl is next to the pizza.,next to,True,True,True, True,http://images.cocodataset.org/train2017/000000292574.jpg
674,The laptop is under the cat.,under,True,True,True, True,http://images.cocodataset.org/train2017/000000272250.jpg
675,The donut is on the dining table.,on,True,True,True, True,http://images.cocodataset.org/train2017/000000398093.jpg
676,The boat is parallel to the truck.,parallel to,True,True,True, True,http://images.cocodataset.org/train2017/000000267363.jpg
677,The banana is touching the bed.,touching,False,True,False, True,http://images.cocodataset.org/train2017/000000512118.jpg
678,The bus is in front of the motorcycle.,in front of,True,True,True, True,http://images.cocodataset.org/train2017/000000328372.jpg
679,The motorcycle is at the right side of the truck.,at the right side of,False,True,False, True,http://images.cocodataset.org/train2017/000000106810.jpg
680,The teddy bear is touching the cat.,touching,True,True,True, True,http://images.cocodataset.org/train2017/000000546896.jpg
681,The car is behind the suitcase.,behind,False,True,False, True,http://images.cocodataset.org/train2017/000000159850.jpg
682,The cat is at the left side of the teddy bear.,at the left side of,True,True,True, True,http://images.cocodataset.org/train2017/000000219418.jpg
683,The cake is beside the truck.,beside,False,True,False, True,http://images.cocodataset.org/train2017/000000501204.jpg
684,The bed is next to the person.,next to,True,True,True, True,http://images.cocodataset.org/train2017/000000159856.jpg
685,The truck is far away from the suitcase.,far away from,True,True,True, True,http://images.cocodataset.org/train2017/000000407927.jpg
686,The cat is on top of the vase.,on top of,True,True,True, True,http://images.cocodataset.org/train2017/000000261225.jpg
687,The hot dog is in the person.,in,False,True,False, True,http://images.cocodataset.org/train2017/000000574955.jpg
688,The airplane is far away from the backpack.,far away from,True,True,True, True,http://images.cocodataset.org/train2017/000000378448.jpg
689,The chair is at the right side of the laptop.,at the right side of,False,True,False, True,http://images.cocodataset.org/train2017/000000427726.jpg
690,The dining table is in front of the truck.,in front of,False,False,True, False,http://images.cocodataset.org/train2017/000000219784.jpg
691,The person is away from the chair.,away from,True,False,False, False,http://images.cocodataset.org/val2017/000000084362.jpg
692,The cat is in the sink.,in,False,True,False, True,http://images.cocodataset.org/train2017/000000550394.jpg
693,The donut is above the keyboard.,above,True,True,True, True,http://images.cocodataset.org/train2017/000000034128.jpg
694,The cat is touching the umbrella.,touching,True,True,True, True,http://images.cocodataset.org/train2017/000000440935.jpg
695,The keyboard is at the back of the dog.,at the back of,True,True,True, True,http://images.cocodataset.org/train2017/000000077769.jpg
696,The truck is close to the parking meter.,close to,False,True,False, True,http://images.cocodataset.org/train2017/000000411384.jpg
697,The person is left of the refrigerator.,left of,True,True,True, True,http://images.cocodataset.org/train2017/000000410805.jpg
698,The person is at the left side of the dining table.,at the left side of,True,True,True, True,http://images.cocodataset.org/train2017/000000224045.jpg
699,The apple is under the cake.,under,True,True,True, True,http://images.cocodataset.org/train2017/000000577405.jpg
700,The teddy bear is behind the potted plant.,behind,False,False,True, False,http://images.cocodataset.org/val2017/000000175443.jpg
701,The car is above the cat.,above,True,True,True, True,http://images.cocodataset.org/train2017/000000466597.jpg
702,The skateboard is in front of the dog.,in front of,False,True,False, True,http://images.cocodataset.org/train2017/000000518613.jpg
703,The person is on the bed.,on,False,True,False, True,http://images.cocodataset.org/train2017/000000426152.jpg
704,The person is at the left side of the couch.,at the left side of,True,True,True, True,http://images.cocodataset.org/train2017/000000277533.jpg
705,The cat is at the left side of the pizza.,at the left side of,True,True,True, True,http://images.cocodataset.org/train2017/000000363325.jpg
706,The car contains the teddy bear.,contains,False,False,True, False,http://images.cocodataset.org/train2017/000000458132.jpg
707,The donut is next to the cup.,next to,True,True,True, True,http://images.cocodataset.org/train2017/000000397414.jpg
708,The person is touching the apple.,touching,True,True,True, True,http://images.cocodataset.org/val2017/000000188592.jpg
709,The teddy bear is connected to the suitcase.,connected to,True,True,True, True,http://images.cocodataset.org/train2017/000000580454.jpg
710,The keyboard is touching the person.,touching,True,True,True, True,http://images.cocodataset.org/train2017/000000255573.jpg
711,The chair is at the left side of the pizza.,at the left side of,False,False,True, False,http://images.cocodataset.org/train2017/000000285484.jpg
712,The cow is at the left side of the car.,at the left side of,False,True,False, True,http://images.cocodataset.org/train2017/000000343504.jpg
713,The bed is beneath the suitcase.,beneath,False,True,False, True,http://images.cocodataset.org/train2017/000000535688.jpg
714,The person is right of the teddy bear.,right of,False,False,True, False,http://images.cocodataset.org/train2017/000000230004.jpg
715,The person is touching the handbag.,touching,False,False,True, False,http://images.cocodataset.org/train2017/000000096790.jpg
716,The suitcase is on the bed.,on,False,True,False, True,http://images.cocodataset.org/train2017/000000456323.jpg
717,The teddy bear is left of the cup.,left of,False,True,False, True,http://images.cocodataset.org/train2017/000000185326.jpg
718,The bicycle is on the train.,on,True,True,True, True,http://images.cocodataset.org/train2017/000000431484.jpg
719,The bird is far from the elephant.,far from,True,True,True, True,http://images.cocodataset.org/train2017/000000534070.jpg
720,The teddy bear is in front of the bus.,in front of,True,True,True, True,http://images.cocodataset.org/train2017/000000355857.jpg
721,The person is at the left side of the bed.,at the left side of,False,True,False, True,http://images.cocodataset.org/train2017/000000303047.jpg
722,The chair contains the teddy bear.,contains,False,True,False, True,http://images.cocodataset.org/train2017/000000221247.jpg
723,The person is behind the oven.,behind,True,True,True, True,http://images.cocodataset.org/train2017/000000270922.jpg
724,The bicycle is on the bus.,on,True,True,True, True,http://images.cocodataset.org/train2017/000000256981.jpg
725,The cat is toward the sink.,toward,True,True,True, True,http://images.cocodataset.org/train2017/000000007319.jpg
726,The train is right of the bus.,right of,True,False,False, False,http://images.cocodataset.org/train2017/000000419439.jpg
727,The teddy bear is under the dog.,under,False,True,False, True,http://images.cocodataset.org/train2017/000000278184.jpg
728,The bed is perpendicular to the person.,perpendicular to,False,True,False, True,http://images.cocodataset.org/train2017/000000207826.jpg
729,The person is surrounding the cat.,surrounding,False,False,True, False,http://images.cocodataset.org/train2017/000000132099.jpg
730,The bus is next to the umbrella.,next to,True,True,True, True,http://images.cocodataset.org/train2017/000000083736.jpg
731,The cat is toward the toilet.,toward,False,True,False, True,http://images.cocodataset.org/train2017/000000216664.jpg
732,The cow is right of the clock.,right of,True,True,True, True,http://images.cocodataset.org/train2017/000000449845.jpg
733,The potted plant is behind the cat.,behind,True,True,True, True,http://images.cocodataset.org/train2017/000000314504.jpg
734,The donut is inside the car.,inside,True,True,True, True,http://images.cocodataset.org/train2017/000000196002.jpg
735,The teddy bear is in front of the bus.,in front of,False,True,False, True,http://images.cocodataset.org/train2017/000000205283.jpg
736,The bird is away from the refrigerator.,away from,True,True,True, True,http://images.cocodataset.org/train2017/000000576705.jpg
737,The couch is left of the bed.,left of,True,False,False, False,http://images.cocodataset.org/train2017/000000334215.jpg
738,The laptop is facing the cat.,facing,False,True,False, True,http://images.cocodataset.org/train2017/000000501126.jpg
739,The cat is facing the refrigerator.,facing,True,True,True, True,http://images.cocodataset.org/train2017/000000477647.jpg
740,The suitcase contains the cat.,contains,False,True,False, True,http://images.cocodataset.org/train2017/000000282002.jpg
741,The teddy bear is at the left side of the dog.,at the left side of,True,True,True, True,http://images.cocodataset.org/train2017/000000139355.jpg
742,The chair is across the cat.,across,False,False,True, False,http://images.cocodataset.org/train2017/000000482994.jpg
743,The cake is part of the car.,part of,False,False,True, False,http://images.cocodataset.org/train2017/000000399675.jpg
744,The sandwich is touching the person.,touching,False,False,True, False,http://images.cocodataset.org/train2017/000000301614.jpg
745,The dog is touching the bowl.,touching,False,False,True, False,http://images.cocodataset.org/train2017/000000025994.jpg
746,The bicycle is below the pizza.,below,False,False,True, False,http://images.cocodataset.org/train2017/000000521169.jpg
747,The cat is on top of the tv.,on top of,True,True,True, True,http://images.cocodataset.org/train2017/000000337095.jpg
748,The giraffe is next to the zebra.,next to,True,True,True, True,http://images.cocodataset.org/val2017/000000433243.jpg
749,The dining table is below the hot dog.,below,True,True,True, True,http://images.cocodataset.org/train2017/000000238498.jpg
750,The cat is on top of the suitcase.,on top of,False,True,False, True,http://images.cocodataset.org/train2017/000000141441.jpg
751,The laptop is in front of the cat.,in front of,True,True,True, True,http://images.cocodataset.org/train2017/000000357470.jpg
752,The couch is under the car.,under,False,True,False, True,http://images.cocodataset.org/train2017/000000133667.jpg
753,The elephant is in the truck.,in,False,False,True, False,http://images.cocodataset.org/train2017/000000166631.jpg
754,The dining table is in front of the cat.,in front of,False,True,False, True,http://images.cocodataset.org/train2017/000000193254.jpg
755,The bird is on the bowl.,on,True,True,True, True,http://images.cocodataset.org/train2017/000000524881.jpg
756,The person is facing the car.,facing,True,True,True, True,http://images.cocodataset.org/train2017/000000132841.jpg
757,The person is facing away from the laptop.,facing away from,False,True,False, True,http://images.cocodataset.org/train2017/000000021365.jpg
758,The carrot is near the bowl.,near,False,True,False, True,http://images.cocodataset.org/train2017/000000378486.jpg
759,The boat is behind the bicycle.,behind,False,False,True, False,http://images.cocodataset.org/train2017/000000356622.jpg
760,The person is touching the banana.,touching,True,True,True, True,http://images.cocodataset.org/train2017/000000347675.jpg
761,The dog is under the chair.,under,False,False,True, False,http://images.cocodataset.org/train2017/000000033111.jpg
762,The person is at the right side of the dining table.,at the right side of,False,True,False, True,http://images.cocodataset.org/train2017/000000057639.jpg
763,The cat is at the edge of the bench.,at the edge of,True,True,True, True,http://images.cocodataset.org/train2017/000000067906.jpg
764,The cat is touching the tv.,touching,True,True,True, True,http://images.cocodataset.org/train2017/000000119115.jpg
765,The cat is next to the apple.,next to,False,False,True, False,http://images.cocodataset.org/train2017/000000389011.jpg
766,The person is far away from the cow.,far away from,False,False,True, False,http://images.cocodataset.org/train2017/000000316536.jpg
767,The backpack contains the cat.,contains,True,True,True, True,http://images.cocodataset.org/train2017/000000041132.jpg
768,The person is touching the pizza.,touching,False,False,True, False,http://images.cocodataset.org/train2017/000000156687.jpg
769,The dog is on top of the motorcycle.,on top of,True,True,True, True,http://images.cocodataset.org/train2017/000000102763.jpg
770,The bed is beneath the dog.,beneath,False,True,False, True,http://images.cocodataset.org/train2017/000000435549.jpg
771,The microwave is beside the cat.,beside,True,True,True, True,http://images.cocodataset.org/train2017/000000288106.jpg
772,The person is in front of the refrigerator.,in front of,True,True,True, True,http://images.cocodataset.org/train2017/000000321633.jpg
773,The cow is down from the person.,down from,False,False,True, False,http://images.cocodataset.org/train2017/000000172297.jpg
774,The sink is surrounding the cat.,surrounding,False,False,True, False,http://images.cocodataset.org/train2017/000000196307.jpg
775,The bicycle is against the bed.,against,True,True,True, True,http://images.cocodataset.org/train2017/000000002139.jpg
776,The oven is in the pizza.,in,False,True,False, True,http://images.cocodataset.org/train2017/000000116521.jpg
777,The person is part of the hot dog.,part of,False,False,True, False,http://images.cocodataset.org/train2017/000000489739.jpg
778,The person is touching the pizza.,touching,True,True,True, True,http://images.cocodataset.org/train2017/000000195509.jpg
779,The cake has as a part the dog.,has as a part,True,True,True, True,http://images.cocodataset.org/train2017/000000330022.jpg
780,The motorcycle is parallel to the bus.,parallel to,False,True,False, True,http://images.cocodataset.org/train2017/000000308175.jpg
781,The teddy bear is beside the bottle.,beside,True,True,True, True,http://images.cocodataset.org/train2017/000000151862.jpg
782,The sandwich is into the person.,into,True,True,True, True,http://images.cocodataset.org/train2017/000000328326.jpg
783,The sandwich is touching the person.,touching,False,False,True, False,http://images.cocodataset.org/train2017/000000382636.jpg
784,The bed is under the suitcase.,under,False,True,False, True,http://images.cocodataset.org/train2017/000000460991.jpg
785,The dining table is touching the donut.,touching,False,True,False, True,http://images.cocodataset.org/train2017/000000541288.jpg
786,The apple is next to the cat.,next to,True,True,True, True,http://images.cocodataset.org/train2017/000000003067.jpg
787,The laptop is on top of the person.,on top of,True,True,True, True,http://images.cocodataset.org/train2017/000000578572.jpg
788,The cat is into the toilet.,into,False,True,False, True,http://images.cocodataset.org/train2017/000000241876.jpg
789,The boat is on the tv.,on,False,False,True, False,http://images.cocodataset.org/train2017/000000470472.jpg
790,The toilet is far away from the truck.,far away from,True,True,True, True,http://images.cocodataset.org/train2017/000000093519.jpg
791,The cat is inside the suitcase.,inside,False,True,False, True,http://images.cocodataset.org/train2017/000000522380.jpg
792,The banana is inside the bowl.,inside,False,True,False, True,http://images.cocodataset.org/train2017/000000546337.jpg
793,The cat is in the toilet.,in,False,True,False, True,http://images.cocodataset.org/train2017/000000048935.jpg
794,The dining table is adjacent to the refrigerator.,adjacent to,True,True,True, True,http://images.cocodataset.org/train2017/000000211302.jpg
795,The bird is below the bowl.,below,False,True,False, True,http://images.cocodataset.org/train2017/000000138137.jpg
796,The horse is in front of the bench.,in front of,False,True,False, True,http://images.cocodataset.org/train2017/000000566276.jpg
797,The keyboard is below the cat.,below,True,True,True, True,http://images.cocodataset.org/train2017/000000241027.jpg
798,The teddy bear is at the left side of the couch.,at the left side of,False,True,False, True,http://images.cocodataset.org/train2017/000000178818.jpg
799,The cat is by the banana.,by,True,True,True, True,http://images.cocodataset.org/train2017/000000259475.jpg
800,The person is touching the sandwich.,touching,True,True,True, True,http://images.cocodataset.org/train2017/000000097365.jpg
801,The cake has as a part the dog.,has as a part,False,True,False, True,http://images.cocodataset.org/train2017/000000189737.jpg
802,The laptop is at the left side of the dog.,at the left side of,False,True,False, True,http://images.cocodataset.org/train2017/000000025994.jpg
803,The cat is above the bicycle.,above,True,True,True, True,http://images.cocodataset.org/train2017/000000099453.jpg
804,The cup is in front of the cow.,in front of,True,True,True, True,http://images.cocodataset.org/train2017/000000298981.jpg
805,The person is facing the frisbee.,facing,False,True,False, True,http://images.cocodataset.org/train2017/000000468612.jpg
806,The cake is inside the oven.,inside,True,True,True, True,http://images.cocodataset.org/train2017/000000201925.jpg
